t,vcin_pseudo,vcip_pseudo
 5.08096E-05 , 2.75945E-01 , 7.39216E-01 
 5.10721E-05 , 6.22016E-01 , 6.28140E-01 
 5.13471E-05 , 6.23576E-01 , 6.26423E-01 
 5.16096E-05 , 8.77543E-01 , 3.22496E-01 
 5.18658E-05 , 6.36666E-01 , 6.13331E-01 
 5.21161E-05 , 9.89194E-01 , 2.10805E-01 
 5.23596E-05 , 6.33056E-01 , 6.16941E-01 
 5.26408E-05 , 7.08476E-01 , 7.91460E-01 
 5.29096E-05 , 6.27851E-01 , 6.42182E-01 
 5.31658E-05 , 6.16992E-01 , 6.32978E-01 
 5.34408E-05 , 5.73707E-01 , 8.80902E-01 
 5.36721E-05 , 6.36958E-01 , 6.10758E-01 
 5.39345E-05 , 2.22022E-01 , 9.19403E-01 
 5.41721E-05 , 6.25813E-01 , 6.24258E-01 
 5.44596E-05 , 6.23519E-01 , 6.26438E-01 
 5.47096E-05 , 7.51074E-01 , 4.48932E-01 
 5.49721E-05 , 6.20183E-01 , 6.29813E-01 
 5.52409E-05 , 8.13679E-01 , 4.36404E-01 
 5.54721E-05 , 6.36146E-01 , 6.13850E-01 
 5.57408E-05 , 8.18385E-01 , 6.51963E-01 
 5.60096E-05 , 6.96471E-01 , 4.42801E-01 
 5.62659E-05 , 6.27358E-01 , 6.22547E-01 
 5.65409E-05 , 5.72330E-01 , 6.94582E-01 
 5.67908E-05 , 6.29048E-01 , 6.20684E-01 
 5.70412E-05 , 4.32074E-01 , 8.17926E-01 
 5.72783E-05 , 6.27161E-01 , 6.22810E-01 
 5.75471E-05 , 5.32710E-01 , 7.17289E-01 
 5.78345E-05 , 5.84530E-01 , 5.42333E-01 
 5.80783E-05 , 6.44039E-01 , 6.06042E-01 
 5.83471E-05 , 6.59884E-01 , 5.92300E-01 
 5.85908E-05 , 6.33177E-01 , 6.16798E-01 
 5.88471E-05 , 7.48549E-01 , 5.73699E-01 
 5.90909E-05 , 6.24832E-01 , 6.25265E-01 
 5.93721E-05 , 6.16003E-01 , 6.33809E-01 
 5.96408E-05 , 7.75657E-01 , 6.35906E-01 
 5.99096E-05 , 3.22219E-01 , 8.51260E-01 
 6.01596E-05 , 6.58774E-01 , 6.43558E-01 
 6.04096E-05 , 1.44375E-01 , 9.24474E-01 
 6.06533E-05 , 6.83090E-01 , 5.89062E-01 
 6.09345E-05 , 4.71938E-01 , 7.30265E-01 
 6.11908E-05 , 6.24881E-01 , 6.26376E-01 
 6.14596E-05 , 6.43335E-01 , 6.06636E-01 
 6.17345E-05 , 9.45241E-01 , 2.12246E-01 
 6.19658E-05 , 6.18328E-01 , 6.32241E-01 
 6.22259E-05 , 9.36258E-01 , 2.63742E-01 
 6.24721E-05 , 6.24211E-01 , 6.25731E-01 
 6.27533E-05 , 5.45070E-01 , 7.04889E-01 
 6.30096E-05 , 4.23361E-01 , 7.77009E-01 
 6.32721E-05 , 6.21751E-01 , 6.28223E-01 
 6.35408E-05 , 5.20457E-01 , 9.06520E-01 
 6.37659E-05 , 6.32925E-01 , 6.17070E-01 
 6.40346E-05 , 3.64636E-01 , 8.85364E-01 
 6.43096E-05 , 4.76137E-01 , 6.96829E-01 
 6.45658E-05 , 6.25806E-01 , 6.24068E-01 
 6.48409E-05 , 7.25210E-01 , 5.57386E-01 
 6.50908E-05 , 6.21333E-01 , 6.28536E-01 
 6.53409E-05 , 8.13471E-01 , 4.36561E-01 
 6.55784E-05 , 6.24706E-01 , 6.25332E-01 
 6.58596E-05 , 6.42353E-01 , 6.07684E-01 
 6.61408E-05 , 5.72544E-01 , 6.77459E-01 
 6.63909E-05 , 6.25457E-01 , 6.24597E-01 
 6.66596E-05 , 5.85707E-01 , 6.64290E-01 
 6.69096E-05 , 1.84325E-01 , 9.71179E-01 
 6.71533E-05 , 6.49503E-01 , 6.45376E-01 
 6.74201E-05 , 3.89165E-01 , 8.10835E-01 
 6.76846E-05 , 6.25211E-01 , 6.24871E-01 
 6.79471E-05 , 6.80260E-01 , 5.69739E-01 
 6.82223E-05 , 9.24208E-01 , 2.75792E-01 
 6.84658E-05 , 6.10411E-01 , 6.43193E-01 
 6.87096E-05 , 9.75157E-01 , 2.24932E-01 
 6.89658E-05 , 6.23668E-01 , 6.26308E-01 
 6.92471E-05 , 5.75962E-01 , 6.74036E-01 
 6.95096E-05 , 6.50335E-01 , 6.25164E-01 
 6.97659E-05 , 6.33725E-01 , 6.16298E-01 
 7.00408E-05 , 5.83063E-01 , 9.37237E-01 
 7.02659E-05 , 6.18808E-01 , 6.31160E-01 
 7.05286E-05 , 2.82558E-01 , 9.17442E-01 
 7.07783E-05 , 6.22015E-01 , 6.28062E-01 
 7.10534E-05 , 5.87154E-01 , 6.62805E-01 
 7.13127E-05 , 8.09115E-01 , 3.90885E-01 
 7.15721E-05 , 6.23491E-01 , 6.26528E-01 
 7.18346E-05 , 1.01991E+00 , 2.30070E-01 
 7.20658E-05 , 6.40426E-01 , 6.09571E-01 
 7.23408E-05 , 8.60863E-01 , 3.89224E-01 
 7.26096E-05 , 6.26456E-01 , 6.25198E-01 
 7.28659E-05 , 6.15893E-01 , 6.34206E-01 
 7.31471E-05 , 6.05301E-01 , 7.25269E-01 
 7.33908E-05 , 6.24345E-01 , 6.25651E-01 
 7.36471E-05 , 5.54037E-01 , 7.83397E-01 
 7.38846E-05 , 6.24347E-01 , 6.25627E-01 
 7.41596E-05 , 6.00923E-01 , 6.49114E-01 
 7.44346E-05 , 6.99586E-01 , 5.32606E-01 
 7.46846E-05 , 6.26763E-01 , 6.23236E-01 
 7.49533E-05 , 6.87777E-01 , 5.62222E-01 
 7.51846E-05 , 6.24952E-01 , 6.25043E-01 
 7.54471E-05 , 7.56364E-01 , 5.78217E-01 
 7.57096E-05 , 7.97042E-01 , 3.70240E-01 
 7.59846E-05 , 6.26972E-01 , 6.23692E-01 
 7.62534E-05 , 5.83560E-01 , 6.66451E-01 
 7.65317E-05 , 2.55331E-01 , 9.44669E-01 
 7.67658E-05 , 6.54208E-01 , 6.25269E-01 
 7.70096E-05 , 2.35986E-01 , 9.64063E-01 
 7.72597E-05 , 6.32417E-01 , 6.17585E-01 
 7.75471E-05 , 7.27832E-01 , 5.22166E-01 
 7.78096E-05 , 6.25813E-01 , 6.25512E-01 
 7.80658E-05 , 6.09881E-01 , 6.40096E-01 
 7.83346E-05 , 9.99045E-01 , 2.28550E-01 
 7.85658E-05 , 6.33016E-01 , 6.59524E-01 
 7.88318E-05 , 8.96135E-01 , 3.03865E-01 
 7.90846E-05 , 6.32971E-01 , 6.17153E-01 
 7.93596E-05 , 6.06695E-01 , 6.43262E-01 
 7.96408E-05 , 6.57619E-01 , 7.53943E-01 
 7.98846E-05 , 6.25625E-01 , 6.24390E-01 
 8.01471E-05 , 4.94234E-01 , 8.18005E-01 
 8.03783E-05 , 6.32267E-01 , 6.17657E-01 
 8.06471E-05 , 7.22645E-01 , 6.16583E-01 
 8.09096E-05 , 5.63018E-01 , 6.39553E-01 
 8.11659E-05 , 6.13141E-01 , 6.36873E-01 
 8.14409E-05 , 7.48933E-01 , 5.01067E-01 
 8.16784E-05 , 6.25299E-01 , 6.24698E-01 
 8.19408E-05 , 8.48056E-01 , 5.03760E-01 
 8.21846E-05 , 6.24530E-01 , 6.25484E-01 
 8.24658E-05 , 6.31979E-01 , 6.18120E-01 
 8.27409E-05 , 7.17096E-01 , 5.45072E-01 
 8.30096E-05 , 3.32073E-01 , 8.79699E-01 
 8.32596E-05 , 6.25946E-01 , 6.24031E-01 
 8.35096E-05 , 2.12329E-01 , 9.96272E-01 
 8.37534E-05 , 6.54685E-01 , 5.94794E-01 
 8.40345E-05 , 4.22042E-01 , 7.12188E-01 
 8.42846E-05 , 6.29316E-01 , 6.28208E-01 
 8.45471E-05 , 5.39817E-01 , 7.10187E-01 
 8.48096E-05 , 9.50760E-01 , 2.61525E-01 
 8.50534E-05 , 6.65154E-01 , 5.82983E-01 
 8.52909E-05 , 6.25361E-01 , 6.24654E-01 
 8.55596E-05 , 6.56911E-01 , 5.93060E-01 
 8.58471E-05 , 5.17620E-01 , 7.32379E-01 
 8.61096E-05 , 4.60160E-01 , 7.42521E-01 
 8.63721E-05 , 6.23200E-01 , 6.26789E-01 
 8.66408E-05 , 2.34118E-01 , 1.01597E+00 
 8.68658E-05 , 6.43924E-01 , 6.07213E-01 
 8.71345E-05 , 2.91022E-01 , 8.36779E-01 
 8.73784E-05 , 6.24601E-01 , 6.25511E-01 
 8.76471E-05 , 5.50094E-01 , 6.99904E-01 
 8.79096E-05 , 8.52657E-01 , 3.57720E-01 
 8.81596E-05 , 6.08835E-01 , 6.41161E-01 
 8.84097E-05 , 9.93324E-01 , 2.06672E-01 
 8.86535E-05 , 6.17839E-01 , 6.32159E-01 
 8.89345E-05 , 7.89086E-01 , 4.24010E-01 
 8.92096E-05 , 6.25210E-01 , 6.33003E-01 
 8.94659E-05 , 6.33920E-01 , 6.16075E-01 
 8.97409E-05 , 4.92076E-01 , 7.73904E-01 
 8.99783E-05 , 6.20329E-01 , 6.29667E-01 
 9.02408E-05 , 2.64595E-01 , 9.85412E-01 
 9.04783E-05 , 6.25175E-01 , 6.24871E-01 
 9.07534E-05 , 5.97195E-01 , 6.52764E-01 
 9.10096E-05 , 6.93808E-01 , 5.08311E-01 
 9.12721E-05 , 6.26200E-01 , 6.23843E-01 
 9.15408E-05 , 8.96482E-01 , 5.30495E-01 
 9.17659E-05 , 6.29001E-01 , 6.20993E-01 
 9.20346E-05 , 9.14929E-01 , 3.12666E-01 
 9.22846E-05 , 6.23701E-01 , 6.26354E-01 
 9.25659E-05 , 6.29260E-01 , 6.20644E-01 
 9.28471E-05 , 6.84652E-01 , 6.54234E-01 
 9.31096E-05 , 2.18458E-01 , 8.59097E-01 
 9.33533E-05 , 6.11717E-01 , 7.01047E-01 
 9.35846E-05 , 6.24515E-01 , 6.25417E-01 
 9.38534E-05 , 6.56960E-01 , 5.93038E-01 
 9.41408E-05 , 6.19465E-01 , 6.30550E-01 
 9.43846E-05 , 6.18274E-01 , 6.31799E-01 
 9.46533E-05 , 6.01070E-01 , 6.78489E-01 
 9.49096E-05 , 9.26148E-01 , 1.64795E-01 
 9.51471E-05 , 7.00302E-01 , 5.49719E-01 
 9.54096E-05 , 6.25551E-01 , 6.24763E-01 
 9.56721E-05 , 6.18327E-01 , 6.31781E-01 
 9.59471E-05 , 6.29306E-01 , 6.20692E-01 
 9.62191E-05 , 3.14041E-01 , 8.85959E-01 
 9.64658E-05 , 6.15233E-01 , 6.34764E-01 
 9.67153E-05 , 2.11556E-01 , 9.88445E-01 
 9.69596E-05 , 6.12915E-01 , 6.37082E-01 
 9.72408E-05 , 7.73254E-01 , 6.81354E-01 
 9.74909E-05 , 6.27275E-01 , 6.26044E-01 
